79273.7933	11332.8119	dijkstraheap	50	3
79873.7827	16794.8868	dijkstra	50	3
79875.5760	12363.2808	dijkstra	50	5
84576.2267	133324.2281	dijkstra	50	1
85266.1653	160590.5807	dijkstraheap	50	1
85651.2053	144775.0032	dijkstraheap	50	5
86312.4893	8840.7389	dijkstraheapgeom	50	3
93493.5947	197575.4398	dijkstraheapgeom	50	1
94460.9720	210379.7553	dijkstraheapgeom	50	5
95939.8320	16745.3506	bellmanfordlimit	50	3
97089.9480	21383.9630	bellmanfordlimit	50	5
102638.8160	168636.0609	bellmanfordlimit	50	1
107366.1613	13994.1397	bellmanfordgeom	50	3
107842.1413	13996.1346	bellmanfordgeom	50	5
114995.7120	196774.8730	bellmanfordgeom	50	1
119552.5933	14136.3216	bellmanford	50	3
120019.8840	15653.6345	bellmanford	50	5
126013.5053	167322.7152	bellmanford	50	1
371217.6453	42585.3727	dijkstraheap	100	3
372782.0693	46964.2414	dijkstraheap	100	5
385345.7853	73852.5214	dijkstraheap	100	1
390211.0293	67740.7291	bellmanfordlimit	100	5
390565.4187	166267.9704	bellmanfordlimit	100	3
410794.1147	93455.5420	bellmanfordlimit	100	1
413854.0080	29316.9437	dijkstraheapgeom	100	3
416357.8200	53592.6866	dijkstraheapgeom	100	5
423535.2000	51855.5202	dijkstraheapgeom	100	1
424543.2773	49454.3378	dijkstra	100	3
433084.0920	62807.8316	dijkstra	100	1
434113.5027	158148.7172	dijkstra	100	5
489674.9973	74004.5733	bellmanford	100	1
493313.9933	76883.7593	bellmanford	100	3
505623.3147	168239.5360	bellmanford	100	5
560573.2933	47065.2455	bellmanfordgeom	100	5
564712.8987	50590.0123	bellmanfordgeom	100	1
565887.4520	220047.2222	bellmanfordgeom	100	3
1059927.2187	82181.1622	dijkstraheapgeom	150	3
1063370.5960	77323.5371	dijkstraheapgeom	150	1
1074589.6867	216662.1598	dijkstraheapgeom	150	5
1149323.6187	118048.9399	dijkstraheap	150	1
1152885.7600	224320.8621	dijkstraheap	150	3
1192628.1907	195386.7295	dijkstraheap	150	5
1263869.6280	91747.8407	bellmanfordgeom	150	1
1264216.8253	128520.1708	dijkstra	150	3
1268391.8293	102656.5610	bellmanfordgeom	150	3
1270095.2360	260879.6452	dijkstra	150	5
1271762.3947	233076.6973	bellmanfordgeom	150	5
1275294.0840	210298.7847	dijkstra	150	1
1333027.0560	218495.9752	bellmanfordlimit	150	1
1338847.4067	247502.6298	bellmanfordlimit	150	3
1338927.8480	268504.3872	bellmanfordlimit	150	5
1581641.6893	228593.9104	bellmanford	150	3
1585968.3720	154744.7454	bellmanford	150	5
1586169.9267	291953.6257	bellmanford	150	1
1875977.5253	125135.0057	dijkstraheapgeom	200	1
1877200.5773	243600.3799	dijkstraheapgeom	200	5
1894217.2693	383429.7008	dijkstraheapgeom	200	3
2144635.7920	269424.5941	bellmanfordgeom	200	3
2146905.1613	269053.1448	bellmanfordgeom	200	1
2156874.8493	302304.4148	dijkstraheap	200	1
2160339.6613	267217.4106	bellmanfordgeom	200	5
2165067.5293	318457.5759	dijkstra	200	1
2169479.8147	269609.4736	dijkstraheap	200	5
2169649.8067	237752.9930	dijkstraheap	200	3
2170736.3587	339713.2411	bellmanfordlimit	200	3
2180157.7920	354204.2544	bellmanfordlimit	200	1
2192329.0933	383584.1173	dijkstra	200	3
2195077.3600	352311.6530	dijkstra	200	5
2209276.1373	301498.3761	bellmanfordlimit	200	5
2629646.0667	278618.6083	bellmanford	200	1
2640571.7200	288457.9073	bellmanford	200	3
2649286.6333	243759.2294	bellmanford	200	5
2960746.6533	340257.5618	dijkstraheapgeom	250	1
2964911.8947	188592.0124	dijkstraheapgeom	250	3
3002458.6280	291433.0802	dijkstraheapgeom	250	5
3312915.9680	471881.4201	bellmanfordlimit	250	1
3314122.3907	304011.8654	bellmanfordgeom	250	1
3342514.8960	307486.9413	bellmanfordgeom	250	3
3354289.4587	485698.3521	bellmanfordlimit	250	3
3383618.2813	437787.9041	bellmanfordgeom	250	5
3389020.3467	561476.4754	bellmanfordlimit	250	5
3393375.9053	419324.1055	dijkstraheap	250	3
3396171.9053	431987.8941	dijkstraheap	250	1
3405193.1120	407467.2463	dijkstraheap	250	5
3474804.2293	463585.5799	dijkstra	250	1
3482518.7240	437612.1807	dijkstra	250	5
3505235.5867	454541.3627	dijkstra	250	3
4106892.6827	465023.5903	bellmanford	250	1
4130158.6160	456235.9732	bellmanford	250	3
4174991.7693	396324.7247	bellmanford	250	5
13867186.1907	853938.2207	dijkstraheapgeom	500	1
13892675.9253	687989.3270	dijkstraheapgeom	500	3
13951963.5213	778368.5961	dijkstraheapgeom	500	5
15225613.7973	885609.1599	bellmanfordgeom	500	1
15295064.7880	943359.7099	bellmanfordgeom	500	3
15386488.7307	879621.7323	bellmanfordgeom	500	5
15650158.9720	1440427.2811	dijkstraheap	500	3
15673958.2120	1355975.4422	dijkstraheap	500	1
15684362.5307	1375894.5979	dijkstraheap	500	5
16063789.5400	1669804.3079	dijkstra	500	3
16065601.8467	1611030.0353	dijkstra	500	1
16288844.1373	1687852.9940	dijkstra	500	5
16916054.6427	2004730.8283	bellmanfordlimit	500	1
16929972.5787	1971591.3428	bellmanfordlimit	500	3
16939095.3000	1990231.3804	bellmanfordlimit	500	5
19866811.1213	1543739.0810	bellmanford	500	1
19946281.2907	1456814.9136	bellmanford	500	3
19967754.4107	1428540.8735	bellmanford	500	5
