2527845	6190
2198864	6270
2473575	6341
1546598	6297
2426379	6280
2194571	6315
1900406	6252
2166342	6315
1174065	6273
2324090	6225
1728335	6193
2046300	6319
2468878	6240
2550066	6140
2512496	6226
1136805	6330
1931604	6330
1908006	6139
1905401	6275
2378616	6392
2196434	6134
1292609	6193
1236651	6229
1840630	6192
2456188	6267
1965219	6194
2259816	6234
2547920	6291
1537797	6178
1845677	6306
2554926	6212
1945212	6391
2569398	6195
1221302	6348
2414904	6114
2208962	6318
1046180	6201
1245548	6200
2492395	6161
1581104	6237
2475114	6198
1530411	6346
2242050	6130
2575743	6309
1785751	6269
2526320	6283
1961655	6265
2517275	6194
2391887	6311
2446967	6443
2535999	6266
1923748	6291
1621627	6206
2531639	6254
2253512	6273
1285683	6162
1726553	6110
2539282	6227
1594914	6290
1221342	6256
1220005	6209
1168004	6214
1845447	6373
2383490	6158
2610570	6149
2456282	6239
2158904	6247
1151210	6186
4999698	6248
2103432	6147
2272317	6359
2553846	6314
1986063	6290
2033826	6218
2588771	6303
2098087	6375
2489344	6075
2539050	6320
1565957	6180
2304555	6109
2554778	6279
1408533	6125
1973508	6175
1596926	6139
1715024	6212
1579848	6278
2547272	6122
2224500	6271
2264312	6223
2415796	6217
2098491	6165
2598613	6265
2237150	6180
2171972	6302
2371596	6205
1277772	6225
2248800	6143
1915485	6237
1649400	6324
2557208	6183
1654328	6236
1961480	6357
1616946	6420
1620011	6347
2490936	6279
1797428	6112
1109778	6332
2213255	6221
1595347	6264
2093186	6219
1988615	6205
2474115	6292
2291623	6167
1762220	6116
1410248	6275
1569480	6122
2423099	6154
2444928	6185
2491868	6178
1203630	6246
1044141	6203
2289206	6310
2141502	6252
1851401	6140
1670473	6243
2063685	6259
1485497	6193
2427122	6055
2338035	6275
2338090	6121
1346987	6267
1930092	6279
2426001	6274
2140692	6335
2579969	6195
2689065	6290
2449424	6140
1240621	6283
2197001	6218
1504762	6157
2504639	6196
1293013	6276
2398043	6221
2543843	6258
1024566	6303
2355005	6303
1997107	6279
2490275	6175
2069871	6245
2633212	6381
2162495	6232
2776435	6229
2530964	6173
2274599	6076
2521379	6330
2136413	6242
1502317	6256
2617701	6339
1524201	6340
2538709	6097
2575676	6232
2639679	6396
1877146	6175
1157258	6237
1938530	6185
2626368	6396
2355788	6365
1391631	6215
1737677	6263
2371340	6139
2518314	6215
2514427	6156
2370786	6201
2588191	6295
1832973	6290
2485685	6259
2542992	6165
1991949	6250
1755173	6071
1217441	6330
2478219	6320
1872488	6230
2319257	6208
2232735	6210
2191034	6235
1897287	6272
2540171	6353
1807067	6267
1591377	6318
2569371	6176
1428216	6256
2529667	6074
2461412	6249
4692654	6314
2353884	6275
2422491	6109
2010269	6305
2191844	6267
2313195	6164
2067927	6249
2574677	6314
2465772	6173
1404403	6342
2514278	6178
1495217	6222
1479857	6032
1806135	6171
2440770	6101
2510916	6232
2316408	6341
2365292	6258
2556614	6175
2419170	6164
2266350	6280
1301330	6252
2511996	6291
1452962	6345
2307836	6088
1375283	6227
2404212	6279
2635805	6423
2570992	6365
1810820	6281
1393994	6197
2365589	6334
2036607	6303
1233020	6328
1138965	6234
2465880	6215
2443997	6336
2606901	6268
1205089	6238
2357435	6306
1202820	6251
1482270	6221
2615636	6361
2530762	6319
1541616	6247
1070723	6396
1131297	6295
1739175	6214
2016708	6407
1545234	6137
1244738	6308
2350347	6150
2274369	6276
1326939	6144
988535	6218
2353277	6231
1825386	6267
